Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
,Rojo,Color,Rojo,,,,,,,Yes,700.00,,,,,,,,,,,0,0,V-LIB-015-Rojo,,,,,,,,,,,,,,,,,,,,,,af22b75d-808f-4ffc-b15a-435636f4a45f
,Azul,Color,Azul,,,,,,,Yes,700.00,,,,,,,,,,,0,0,V-LIB-015-Azul,,,,,,,,,,,,,,,,,,,,,,0618b941-bb21-4e4e-9986-9fceaa998616
,Verde,Color,Verde,,,,,,,Yes,700.00,,,,,,,,,,,0,0,V-LIB-015-Verd,,,,,,,,,,,,,,,,,,,,,,105a11dd-b4d9-411c-8e4f-ad4d15c85326
,Amarillo,Color,Amarillo,,,,,,,Yes,700.00,,,,,,,,,,,0,0,V-LIB-015-Amar,,,,,,,,,,,,,,,,,,,,,,efcf6d88-4044-4c1b-9b2d-192c02e51cd8
FLORAX Papel Higiénico Doble Hoja 4 x 50 mt,,,,,,,,,,Yes,2300.00,,No,19.00,No,,No,,,each.each,Yes,6,0,V-LIM-035,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_2R4S63QFQJ820997AHQGAQ0AVH,,,,,,,Yes,FLORAX Papel Higiénico Doble Hoja 4 x 50 mt,,,No,,,be22abc5-1d7d-4d34-ad15-79a8df0937eb,d4ba9e19-fe19-4541-b0a8-23471220cf45
GOURMET Caldo en polvo Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Abarrotes,Yes,Yellow,https://images.sumup.com/img_6YA12DSF0X8VDA7G796ZGRVHA5,https://images.sumup.com/img_22M2W4KY0288XANKWC2QFJBSE7,https://images.sumup.com/img_2H6ACTH58T9VAVHD2PASF17TJH,,,,,Yes,GOURMET Caldo en polvo Variedades,,,No,,,074a3ea4-34fe-48d3-adef-25f15d1d930b,
,Carne,,,,,,,,,Yes,750.00,,,,,,,,,,,0,0,V-ABA-002-Carn,,,,,,,https://images.sumup.com/img_15SAS7TE5791PS0VMNM3SGX6S5,,,,,,,,,,,,,,,e46dee16-f39a-4a11-9a98-7b2a371e9765
,Pollo,,,,,,,,,Yes,750.00,,,,,,,,,,,0,0,V-ABA-002-Poll,,,,,,,https://images.sumup.com/img_2VXV6BGAB48HPVA82KR4TSF5ZX,,,,,,,,,,,,,,,c5c8dce0-e8c1-4ab8-9c13-2083cf00956b
,Verduras,,,,,,,,,Yes,750.00,,,,,,,,,,,0,0,V-ABA-002-Verd,,,,,,,https://images.sumup.com/img_2D0981Y0ZW90YAQTF24YXB9R6E,,,,,,,,,,,,,,,48ae48ab-568e-4727-a8bb-d66e143f95f5
HOLY Nut Mix Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Colaciones,Yes,Light blue,https://images.sumup.com/img_4R95MGN0FW8CA9HCK2WHEM8YYC,https://images.sumup.com/img_6Y88HC897G9SC8P7BH35WD92HS,https://images.sumup.com/img_2K3FDR4SF791BVKRFR71X28FSC,,,,,Yes,HOLY Nut Mix Variedades,,,No,,,12c9a3d2-487b-42c2-bae4-6cf900111955,
,Avellana Mix,,,,,,,,,Yes,950.00,,,,,,,,,,,0,0,V-COL-004-AvMx,,,,,,,,,,,,,,,,,,,,,,734696e7-2638-4453-862f-f2b699993102
,Coco Mix,,,,,,,,,Yes,950.00,,,,,,,,,,,0,0,V-COL-004-CoMx,,,,,,,,,,,,,,,,,,,,,,6e318ba3-713b-405e-abf2-db2620fb80cf
